artikelnr;karpi_code;omschrijving
725110000;ABST11XX200290;ABSTRACT KLEUR 11 CA:200x290 cm
602990113;ABTA99XX110145;ABSTRACT TAPESTRY Kleur 99 CA: 110x145 cm
504540000;ACHT54XX040060;ACHTERHOEK Kleur 54 CA: 040x060 cm
504540001;ACHT54XX050080;ACHTERHOEK Kleur 54 CA: 050x080 cm
660350000;ADIL35XX055055;ADILA CUSHION KLEUR 35 CA.055X055
695240000;AIDO24XX055055;AIDORI BLACK CUSHION CA.055X055
695460001;AIDO46XX055055;AIDORI RED CUSHION CA.055X055
695460002;AIDO46XX075075;AIDORI RED CUSHION CA.075X075
695480000;AIDO48XX055055;AIDORI PURPLE CUSHION CA.055X055
695480001;AIDO48XX075075;AIDORI PURPLE CUSHION CA.075X075
695620000;AIDO62XX075075;AIDORI ORANGE CUSHION CA.075X075
739240000;ALAN24XX020020;ALANO KLEUR 24 CA:020x020 cm
621120000;ALDA12XX080150;ALDO Kleur 12 CA: 080x150 cm
621120001;ALDA12XX120170;ALDO Kleur 12 CA: 120x170 cm
621120002;ALDA12XX160230;ALDO Kleur 12 CA: 160x230 cm
621170000;ALDA17XX080150;ALDO Kleur 17 CA: 080x150 cm
621170001;ALDA17XX120170;ALDO Kleur 17 CA: 120x170 cm
621170002;ALDA17XX160230;ALDO Kleur 17 CA: 160x230 cm
621230000;ALDA23XX080150;ALDO Kleur 23 CA: 080x150 cm
621230001;ALDA23XX120170;ALDO Kleur 23 CA: 120x170 cm
621230002;ALDA23XX160230;ALDO Kleur 23 CA: 160x230 cm
737100000;ALDO10XX020020;ALDONSA KLEUR 10 CA:020x020 cm
737110000;ALDO11XX020020;ALDONSA KLEUR 11 CA:020x020 cm
737130000;ALDO13XX020020;ALDONSA KLEUR 13 CA:020x020 cm
001737000;ALDO17400SYN;ALDONSA KLEUR 17 GOLD SYNT.400 BREED
737179999;ALDO17MAATWERK;
737170004;ALDO17XX020020;ALDONSA KLEUR 17 CA:020x020 cm
737170005;ALDO17XX030030;ALDONSA KLEUR 17 CA:030x030 cm
737170000;ALDO17XX080160;ALDONSA KLEUR 17 CA:080x160 cm
737170010;ALDO17XX120170;ALDONSA Kleur 17 CA: 120x170 cm
737170001;ALDO17XX130190;ALDONSA KLEUR 17 CA:130x190 cm
737170002;ALDO17XX160230;ALDONSA KLEUR 17 CA:160x230 cm
737170003;ALDO17XX200290;ALDONSA KLEUR 17 CA:200x290 cm
001737001;ALDO18400SYN;ALDONSA KLEUR 18 SYNT.400 BREED
737189999;ALDO18MAATWERK;
737180004;ALDO18XX020020;ALDONSA KLEUR 18 CA:020x020 cm
737180005;ALDO18XX030030;ALDONSA KLEUR 18 CA:030x030 cm
737180000;ALDO18XX080160;ALDONSA KLEUR 18 CA:080x160 cm
737180001;ALDO18XX130190;ALDONSA KLEUR 18 CA:130x190 cm
737180002;ALDO18XX160230;ALDONSA KLEUR 18 CA:160x230 cm
737180003;ALDO18XX200290;ALDONSA KLEUR 18 CA:200x290 cm
737190000;ALDO19XX020020;ALDONSA KLEUR 19 CA:020x020 cm
001737006;ALDO21400SYN;ALDONSA KLEUR 21 400 BREED
001737007;ALDO21400SYN;ALDONSA KLEUR 21 400 BREED FOUTIEVE KLEUR VERNON 24
737210000;ALDO21XX020020;ALDONSA KLEUR 21 CA:020x020 cm
001737002;ALDO23400SYN;ALDONSA KLEUR 23 SYNT.400 BREED
737230001;ALDO23XX130190;ALDONSA KLEUR 23 CA:130x190 cm
737230002;ALDO23XX160230;ALDONSA KLEUR 23 CA:160x230 cm
737230003;ALDO23XX200290;ALDONSA KLEUR 23 CA:200x290 cm
001737003;ALDO25400SYN;ALDONSA KLEUR 25 SYNT.400 BREED
737259999;ALDO25MAATWERK;
737250004;ALDO25XX020020;ALDONSA KLEUR 25 CA:020x020 cm
737250005;ALDO25XX030030;ALDONSA KLEUR 25 CA:030x030 cm
737250000;ALDO25XX080160;ALDONSA KLEUR 25 CA:080x160 cm
737250003;ALDO25XX200290;ALDONSA KLEUR 25 CA:200x290 cm
737330000;ALDO33XX020020;ALDONSA KLEUR 33 CA:020x020 cm
001737004;ALDO35400SYN;ALDONSA KLEUR 35 SYNT.400 BREED
737359999;ALDO35MAATWERK;
737350004;ALDO35XX020020;ALDONSA KLEUR 35 CA:020x020 cm
737350005;ALDO35XX030030;ALDONSA Kleur 35 CA: 030x030 cm
737350000;ALDO35XX080160;ALDONSA KLEUR 35 CA:080x160 cm
737350001;ALDO35XX130190;ALDONSA KLEUR 35 CA:130x190 cm
737350002;ALDO35XX160230;ALDONSA KLEUR 35 CA:160x230 cm
737350003;ALDO35XX200290;ALDONSA KLEUR 35 CA:200x290 cm
001737005;ALDO36400SYN;ALDONSA KLEUR 36 SYNT.400 BREED BLAUW/ZWART
737369999;ALDO36MAATWERK;
737360004;ALDO36XX020020;ALDONSA KLEUR 36 CA:020x020 cm
737360005;ALDO36XX030030;ALDONSA KLEUR 36 CA:030x030 cm
737360000;ALDO36XX080160;ALDONSA KLEUR 36 CA:080x160 cm
737360001;ALDO36XX130190;ALDONSA KLEUR 36 CA:130x190 cm
737360002;ALDO36XX160230;ALDONSA KLEUR 36 CA:160x230 cm
